transactionNumber,cardNumber,date,vendor,purchaseAmount
62,7554112577630955,2017-04-15,Jamba Juice,1890.75
63,5101415709368747,2017-04-21,Panda Express,773.18
64,3527736782976227,2017-04-14,Veggie Grill,881.25
65,9118290053562366,2017-04-20,The Body Shop,1688.79
66,5529644643256601,2017-04-12,Jamba Juice,756.44
67,8901818948458243,2017-04-04,Amazon,1220.48
68,0180323394504657,2017-04-25,The Body Shop,1654.45
69,8656037654845702,2017-04-27,Panda Express,107.7
70,9010477255702375,2017-04-18,Veggie Grill,483.98
71,9244087860119309,2017-04-07,Whole Foods,1878.16
72,6410323381160347,2017-04-27,The Body Shop,1139.96
73,8333711039675783,2017-04-13,Panda Express,168.98
74,1709466010547053,2017-04-13,Ralph's,869.73
75,3625496949692692,2017-04-19,Jamba Juice,856.5
76,0086617056121047,2017-04-14,Whole Foods,566.86
77,2155605662250187,2017-04-19,Jamba Juice,1198.97
78,0856578541306908,2017-04-02,Whole Foods,1058.46
79,2904520131060973,2017-04-11,Ralph's,1064.0
80,5026695539267796,2017-04-26,Panda Express,1143.51
81,9118290053562366,2017-04-10,Veggie Grill,1114.97
82,5839136119238002,2017-04-13,Whole Foods,1039.17
83,6410323381160347,2017-04-11,Veggie Grill,1920.67
84,6341390381372200,2017-04-24,Lemon Grass,527.0
85,0086617056121047,2017-04-23,Jamba Juice,1652.97
86,9244087860119309,2017-04-22,Panda Express,1203.19
87,3244674239357512,2017-04-04,Jamba Juice,1138.99
88,9725464664725929,2017-04-10,Whole Foods,1291.21
89,9388274534423904,2017-04-16,Veggie Grill,296.72
90,0882304130564973,2017-04-27,Whole Foods,152.1
91,7698957902658189,2017-04-26,Amazon,635.55
92,9725464664725929,2017-04-28,Veggie Grill,1327.89
93,2863189729596646,2017-04-12,Panda Express,741.83
94,3694715094882759,2017-04-19,Amazon,296.26
95,0478508433072100,2017-04-02,Ralph's,1161.68
96,6341390381372200,2017-04-17,Panda Express,437.66
97,6195917437280405,2017-04-29,Lemon Grass,1472.35
98,3576572462730991,2017-04-21,Whole Foods,576.12
99,8633720646175721,2017-04-20,Jamba Juice,1704.23
100,4901659592267401,2017-04-02,Panda Express,1127.33
101,2801352184213745,2017-04-19,Whole Foods,1709.01
102,7157860161134113,2017-04-20,Veggie Grill,1866.59
103,9310202522396231,2017-04-02,Whole Foods,108.15
104,8901818948458243,2017-04-17,Amazon,827.42
105,1038480245134281,2017-04-16,Ralph's,1607.6
106,0754829907955843,2017-04-03,The Body Shop,1291.14
107,8633720646175721,2017-04-18,Amazon,710.33
108,5605728689605347,2017-04-12,Whole Foods,1378.46
109,5527776053644224,2017-04-17,Lemon Grass,1142.37
110,2392267321108548,2017-04-13,Jamba Juice,775.55
111,3625496949692692,2017-04-02,Veggie Grill,1049.62
112,3384783148187728,2017-04-27,Walmart,1706.91
113,2863189729596646,2017-04-06,Amazon,1603.65
114,2354346417753444,2017-04-16,Ralph's,712.4
115,3527736782976227,2017-04-18,The Body Shop,930.72
116,0180323394504657,2017-04-03,Walmart,1121.22
117,3576572462730991,2017-04-23,Ralph's,1070.47
118,3377897050701034,2017-04-15,Panda Express,1585.77
119,6787614557891474,2017-04-10,Whole Foods,1270.21
120,4180348592947987,2017-04-15,Whole Foods,1606.03
121,0414423090159702,2017-04-01,Whole Foods,588.06
122,2392267321108548,2017-04-10,Panda Express,821.83
123,4180348592947987,2017-04-20,Ralph's,1240.64
124,0856578541306908,2017-04-25,Whole Foods,1877.01
125,1136901785393392,2017-04-08,Panda Express,1086.84
126,5573798454513934,2017-04-28,Lemon Grass,984.26
127,3864273082401037,2017-04-11,Veggie Grill,254.31
128,1361712788550334,2017-04-27,Lemon Grass,1781.39
129,1361712788550334,2017-04-14,Amazon,323.55
130,4112022423965617,2017-04-11,Whole Foods,724.72
131,0394558527070009,2017-04-04,Whole Foods,290.87
132,4640502931335693,2017-04-03,Whole Foods,888.65
133,1136901785393392,2017-04-22,Jamba Juice,306.9
134,5839136119238002,2017-04-29,Amazon,1626.97
135,9743975024100642,2017-04-23,Amazon,1973.58
136,1498011146810365,2017-04-19,Veggie Grill,1813.54
137,0086617056121047,2017-04-16,Whole Foods,789.22
138,2329920872641971,2017-04-03,Walmart,249.08
139,3576572462730991,2017-04-24,Ralph's,636.81
140,6343356446104704,2017-04-21,Amazon,947.88
141,9244087860119309,2017-04-29,Jamba Juice,1462.18
142,7554112577630955,2017-04-15,Whole Foods,1272.18
143,7157860161134113,2017-04-14,Jamba Juice,402.86
144,9424269609904108,2017-04-06,Lemon Grass,850.31
145,5400094890438789,2017-04-20,The Body Shop,488.95
146,2354346417753444,2017-04-13,Jamba Juice,704.68
147,6195917437280405,2017-04-16,Amazon,998.86
148,5331058509488414,2017-04-08,Veggie Grill,1552.57
149,3085002430450121,2017-04-16,Lemon Grass,1936.58
150,2017063688449160,2017-04-28,Walmart,1569.66
151,4180348592947987,2017-04-07,Jamba Juice,1695.1
152,4676768899854001,2017-04-02,Panda Express,488.41
153,2863189729596646,2017-04-12,Veggie Grill,1541.7
154,7118828603481283,2017-04-18,Panda Express,419.23
155,4640502931335693,2017-04-25,The Body Shop,1334.09
156,4901659592267401,2017-04-28,Veggie Grill,635.82
157,9052179287026736,2017-04-26,Amazon,1049.3
158,6195917437280405,2017-04-21,Amazon,1372.93
159,0180323394504657,2017-04-08,Panda Express,944.64
160,3244674239357512,2017-04-26,Veggie Grill,1785.61
161,9052179287026736,2017-04-01,The Body Shop,108.28
162,6787614557891474,2017-04-25,Amazon,1168.54
163,7667649442577097,2017-04-13,Ralph's,1898.71
164,2392267321108548,2017-04-05,Veggie Grill,609.18
165,7976355570191638,2017-04-29,Lemon Grass,1389.26
166,4180348592947987,2017-04-10,Amazon,1941.81
167,0394558527070009,2017-04-22,Panda Express,1968.71
168,5605728689605347,2017-04-12,Panda Express,1395.5
169,3576572462730991,2017-04-10,Walmart,1209.44
170,8202003297278783,2017-04-14,Veggie Grill,118.17
171,6343356446104704,2017-04-11,The Body Shop,1981.04
172,3625496949692692,2017-04-11,Ralph's,962.1
173,1010492762089071,2017-04-05,Jamba Juice,505.45
174,9052179287026736,2017-04-25,Veggie Grill,1902.37
175,6327175781041516,2017-04-22,The Body Shop,1036.92
176,0856578541306908,2017-04-19,Jamba Juice,317.2
177,6206160821767086,2017-04-12,Ralph's,1489.85
178,8333711039675783,2017-04-25,Veggie Grill,393.58
179,6819180046199376,2017-04-19,The Body Shop,484.75
180,3331779625300168,2017-04-08,Amazon,159.85
181,8333711039675783,2017-04-26,Amazon,1758.16
182,7554112577630955,2017-04-03,Amazon,331.57
183,8165189998587807,2017-04-20,Jamba Juice,1978.13
184,5331058509488414,2017-04-06,Veggie Grill,1252.09
185,3527736782976227,2017-04-19,Lemon Grass,1982.64
186,1010492762089071,2017-04-07,Panda Express,1895.96
187,0856578541306908,2017-04-12,Whole Foods,1042.01
188,3694715094882759,2017-04-25,Whole Foods,82.15
189,3527736782976227,2017-04-12,Ralph's,1635.63
190,7554112577630955,2017-04-03,Jamba Juice,833.67
191,0607702837914869,2017-04-01,Whole Foods,594.69
192,1152248668951130,2017-04-02,Veggie Grill,1059.76
193,1498799927774343,2017-04-05,The Body Shop,1429.34
194,0414423090159702,2017-04-16,Jamba Juice,481.07
195,4901659592267401,2017-04-21,The Body Shop,836.14
196,3244674239357512,2017-04-26,The Body Shop,744.52
197,8901818948458243,2017-04-25,Veggie Grill,1340.82
198,7157860161134113,2017-04-15,Lemon Grass,1975.65
199,9424269609904108,2017-04-17,Panda Express,813.63
200,3864273082401037,2017-04-29,Amazon,1305.45
201,2712008768471061,2017-04-12,Jamba Juice,1209.69
202,5062774654686356,2017-04-10,Amazon,118.05
203,7996137846310839,2017-04-09,Walmart,813.68
204,4037907973301133,2017-04-09,Ralph's,1544.78
205,2712008768471061,2017-04-09,Panda Express,953.07
206,0882304130564973,2017-04-27,Veggie Grill,1948.89
207,7118828603481283,2017-04-03,Ralph's,1504.39
208,9831064381175472,2017-04-08,Amazon,391.06
209,9244087860119309,2017-04-15,Ralph's,1436.25
210,2801352184213745,2017-04-23,Amazon,1145.7
211,7976355570191638,2017-04-24,Veggie Grill,1465.37
212,0754829907955843,2017-04-09,Ralph's,1776.69
213,5573798454513934,2017-04-02,The Body Shop,969.19
214,8633720646175721,2017-04-12,Veggie Grill,1824.14
215,1136901785393392,2017-04-16,Jamba Juice,1392.92
216,0394558527070009,2017-04-22,Jamba Juice,1261.99
217,7808749595252000,2017-04-27,The Body Shop,268.23
218,7996137846310839,2017-04-16,Panda Express,243.05
219,3244674239357512,2017-04-22,The Body Shop,855.7
220,9743975024100642,2017-04-28,The Body Shop,1652.98
221,2904520131060973,2017-04-29,Veggie Grill,528.83
222,6819180046199376,2017-04-27,The Body Shop,267.16
223,2853367921350747,2017-04-22,Whole Foods,1.8
224,3384783148187728,2017-04-14,Walmart,1181.94
225,3244674239357512,2017-04-03,Jamba Juice,999.5
226,9424269609904108,2017-04-11,Panda Express,231.7
227,6991397103777239,2017-04-02,Panda Express,80.98
228,5400094890438789,2017-04-26,Walmart,1580.01
229,1709466010547053,2017-04-27,Veggie Grill,128.68
230,0544057643885059,2017-04-25,Whole Foods,1082.01
231,0478508433072100,2017-04-23,Lemon Grass,1046.0
232,4640502931335693,2017-04-15,Whole Foods,567.95
233,4180348592947987,2017-04-11,Whole Foods,1975.24
234,1010492762089071,2017-04-05,Veggie Grill,327.04
235,6341390381372200,2017-04-27,Whole Foods,1835.28
236,5935461227326934,2017-04-15,Ralph's,1926.21
237,3331779625300168,2017-04-04,Veggie Grill,1130.32
238,6991397103777239,2017-04-08,Panda Express,1449.4
239,6272677960250540,2017-04-17,Veggie Grill,1214.02
240,5605728689605347,2017-04-27,Veggie Grill,377.73
241,4180348592947987,2017-04-12,The Body Shop,892.04
242,0394558527070009,2017-04-22,The Body Shop,1955.39
243,2017063688449160,2017-04-28,The Body Shop,264.2
244,7554112577630955,2017-04-02,Jamba Juice,26.4
245,9424269609904108,2017-04-15,Ralph's,866.29
246,2853367921350747,2017-04-22,Panda Express,1227.08
247,2712008768471061,2017-04-19,Amazon,1764.13
248,5331058509488414,2017-04-22,Lemon Grass,41.65
249,8165189998587807,2017-04-21,Lemon Grass,1536.18
250,3085002430450121,2017-04-19,Ralph's,1754.51
251,5331058509488414,2017-04-18,Whole Foods,785.99
252,6991397103777239,2017-04-09,Walmart,1664.36
253,9725464664725929,2017-04-06,Jamba Juice,649.08
254,0414423090159702,2017-04-13,Panda Express,179.61
255,0086617056121047,2017-04-24,Amazon,865.37
256,3694715094882759,2017-04-08,Panda Express,431.34
257,5400094890438789,2017-04-07,The Body Shop,1514.55
258,0414423090159702,2017-04-19,Lemon Grass,1874.4
259,5529644643256601,2017-04-23,Amazon,1059.75
260,9010477255702375,2017-04-20,The Body Shop,775.69
261,4180348592947987,2017-04-19,Whole Foods,487.85
262,1010492762089071,2017-04-27,Jamba Juice,504.6
263,3576572462730991,2017-04-15,Amazon,1112.89
264,8656037654845702,2017-04-10,Walmart,857.35
265,2329920872641971,2017-04-22,Amazon,33.24
266,8737333120877616,2017-04-18,Jamba Juice,195.79
267,3313320642174526,2017-04-03,Amazon,780.51
268,4640502931335693,2017-04-06,Panda Express,1613.18
269,9424269609904108,2017-04-26,Whole Foods,817.42
270,3384783148187728,2017-04-07,Amazon,522.7
271,1136901785393392,2017-04-12,Whole Foods,1147.55
272,2392267321108548,2017-04-11,Lemon Grass,1587.84
273,5080600567778386,2017-04-28,Panda Express,1278.16
274,6272677960250540,2017-04-09,Ralph's,1583.38
275,8813992122266024,2017-04-20,Whole Foods,480.62
276,5573798454513934,2017-04-11,Amazon,116.92
277,3625496949692692,2017-04-07,Whole Foods,44.26
278,3625496949692692,2017-04-27,Lemon Grass,1898.38
279,3313320642174526,2017-04-12,Lemon Grass,809.22
280,9052179287026736,2017-04-09,The Body Shop,1880.62
281,7698957902658189,2017-04-10,Walmart,1452.6
282,8165189998587807,2017-04-24,Walmart,1791.07
283,8165189998587807,2017-04-03,Lemon Grass,17.49
284,8813992122266024,2017-04-01,The Body Shop,1731.32
285,3313320642174526,2017-04-14,Ralph's,1214.27
286,6206160821767086,2017-04-19,Jamba Juice,1258.91
287,8737333120877616,2017-04-24,Lemon Grass,1753.67
288,5935461227326934,2017-04-10,Whole Foods,20.65
289,1498011146810365,2017-04-27,Panda Express,26.31
290,9388274534423904,2017-04-01,The Body Shop,136.34
291,4676768899854001,2017-04-23,Lemon Grass,1926.99
292,5062774654686356,2017-04-22,Veggie Grill,1411.15
293,6787614557891474,2017-04-28,Amazon,1606.83
294,7698957902658189,2017-04-15,The Body Shop,1578.48
295,2392267321108548,2017-04-17,Lemon Grass,1962.59
296,9725464664725929,2017-04-21,Whole Foods,355.27
297,5584648449760288,2017-04-27,Ralph's,250.8
298,5935461227326934,2017-04-07,Lemon Grass,1560.99
299,6819180046199376,2017-04-04,Amazon,1322.5
300,6406594142154723,2017-04-13,Walmart,58.94
301,2017063688449160,2017-04-12,Walmart,1560.05
302,0478508433072100,2017-04-17,Jamba Juice,1194.81
303,3331779625300168,2017-04-05,Jamba Juice,1076.49
304,1498799927774343,2017-04-26,The Body Shop,819.25
305,9310202522396231,2017-04-20,The Body Shop,495.6
306,3313320642174526,2017-04-21,Amazon,1195.47
307,0180323394504657,2017-04-07,Walmart,519.15
308,3527736782976227,2017-04-27,Veggie Grill,135.78
309,3694715094882759,2017-04-07,Panda Express,1331.67
310,7996137846310839,2017-04-02,Veggie Grill,825.45
311,8656037654845702,2017-04-15,Walmart,1980.22
312,2801352184213745,2017-04-27,Ralph's,941.91
313,9010477255702375,2017-04-10,Lemon Grass,460.1
314,7157860161134113,2017-04-01,Ralph's,1043.8
315,8202003297278783,2017-04-26,Whole Foods,1062.95
316,4676768899854001,2017-04-02,Ralph's,1687.82
317,2392267321108548,2017-04-27,Whole Foods,1300.54
318,0180323394504657,2017-04-19,Whole Foods,1450.8
319,6406594142154723,2017-04-08,Ralph's,570.65
320,2853367921350747,2017-04-09,Walmart,828.5
321,5026695539267796,2017-04-10,Whole Foods,815.72
322,3527736782976227,2017-04-03,Jamba Juice,906.6
323,3576572462730991,2017-04-04,Whole Foods,344.53
324,5062774654686356,2017-04-07,Ralph's,530.53
325,6819180046199376,2017-04-18,Veggie Grill,1313.13
326,0478508433072100,2017-04-29,The Body Shop,431.2
327,0856578541306908,2017-04-28,Lemon Grass,136.35
328,3625496949692692,2017-04-17,Ralph's,107.99
329,2329920872641971,2017-04-14,Panda Express,1333.02
330,3576572462730991,2017-04-22,Ralph's,159.04
331,1361712788550334,2017-04-20,The Body Shop,477.16
332,9310202522396231,2017-04-17,Jamba Juice,833.11
333,2863189729596646,2017-04-19,Ralph's,1479.93
334,6991397103777239,2017-04-20,Amazon,1725.23
335,1136901785393392,2017-04-16,Panda Express,1278.93
336,9244087860119309,2017-04-17,Ralph's,339.47
337,7554112577630955,2017-04-14,Panda Express,1048.5
338,4767961889516082,2017-04-26,Whole Foods,1501.2
339,3625496949692692,2017-04-02,Amazon,1618.75
340,3864273082401037,2017-04-09,Jamba Juice,844.95
341,2801352184213745,2017-04-09,Whole Foods,1226.35
342,8656037654845702,2017-04-21,Ralph's,576.32
343,3244674239357512,2017-04-20,Whole Foods,805.58
344,3384783148187728,2017-04-28,Jamba Juice,869.42
345,5605728689605347,2017-04-19,Veggie Grill,525.79
346,7157860161134113,2017-04-15,The Body Shop,297.83
347,5101415709368747,2017-04-03,Walmart,417.48
348,9743975024100642,2017-04-23,Jamba Juice,1006.62
349,2904520131060973,2017-04-14,Whole Foods,1902.82
350,5527776053644224,2017-04-11,Walmart,1535.04
351,5935461227326934,2017-04-05,Walmart,1522.71
352,5080600567778386,2017-04-26,Walmart,631.88
353,7976355570191638,2017-04-20,Walmart,765.88
354,7157860161134113,2017-04-19,Jamba Juice,1624.86
355,4901659592267401,2017-04-03,Jamba Juice,760.79
356,8901818948458243,2017-04-08,Amazon,187.41
357,2801352184213745,2017-04-11,Walmart,758.8
358,5935461227326934,2017-04-17,Amazon,1184.05
359,9244087860119309,2017-04-02,Veggie Grill,1360.24
360,2712008768471061,2017-04-14,Veggie Grill,883.84
361,2155605662250187,2017-04-19,Ralph's,1821.03
362,0414423090159702,2017-04-10,Jamba Juice,1639.69
363,4112022423965617,2017-04-27,Lemon Grass,507.42
364,3331779625300168,2017-04-18,The Body Shop,291.61
365,0754829907955843,2017-04-09,Ralph's,585.36
366,2155605662250187,2017-04-21,The Body Shop,1433.03
367,5529644643256601,2017-04-04,Walmart,756.3
368,8633720646175721,2017-04-18,Veggie Grill,368.06
369,5935461227326934,2017-04-09,Amazon,667.16
370,6410323381160347,2017-04-17,Amazon,392.52
371,8165189998587807,2017-04-03,The Body Shop,382.14
372,6327175781041516,2017-04-08,Amazon,1975.81
373,6343356446104704,2017-04-26,Ralph's,1830.97
374,5605728689605347,2017-04-26,Ralph's,1750.78
375,5605728689605347,2017-04-04,Ralph's,1731.92
376,2904520131060973,2017-04-05,Ralph's,895.32
377,0607702837914869,2017-04-15,Whole Foods,389.34
378,4180348592947987,2017-04-04,Whole Foods,1695.96
379,1498011146810365,2017-04-28,Jamba Juice,1712.9
380,6819180046199376,2017-04-07,The Body Shop,719.26
381,2354346417753444,2017-04-01,Veggie Grill,495.4
382,2329920872641971,2017-04-13,The Body Shop,1201.58
383,1038480245134281,2017-04-08,Whole Foods,585.53
384,3377897050701034,2017-04-11,Panda Express,1838.53
385,0414423090159702,2017-04-21,Jamba Juice,1235.07
386,3331779625300168,2017-04-24,Ralph's,170.02
387,5529644643256601,2017-04-08,Lemon Grass,190.09
388,0414423090159702,2017-04-03,Walmart,989.7
389,5935461227326934,2017-04-21,Panda Express,1606.03
390,3085002430450121,2017-04-10,Whole Foods,1653.13
391,5584648449760288,2017-04-24,Panda Express,636.91
392,2329920872641971,2017-04-05,Ralph's,530.7
393,7698957902658189,2017-04-03,Whole Foods,590.05
394,8813992122266024,2017-04-11,Veggie Grill,79.73
395,1038480245134281,2017-04-04,Walmart,1327.55
396,5573798454513934,2017-04-29,Ralph's,746.57
397,9244087860119309,2017-04-18,Walmart,581.74
398,0754829907955843,2017-04-09,Lemon Grass,23.08
399,8656037654845702,2017-04-16,Veggie Grill,1950.22
400,7157860161134113,2017-04-29,Panda Express,59.07
401,0414423090159702,2017-04-09,Amazon,1431.11
402,9743975024100642,2017-04-27,Jamba Juice,1082.46
403,1152248668951130,2017-04-16,Panda Express,1805.06
404,3527736782976227,2017-04-09,Jamba Juice,1024.06
405,0607702837914869,2017-04-12,Panda Express,1288.61
406,5584648449760288,2017-04-10,Whole Foods,1931.57
407,0856578541306908,2017-04-21,Ralph's,1465.86
408,7157860161134113,2017-04-21,Amazon,447.51
409,9308528277354941,2017-04-02,Veggie Grill,1311.01
410,9244087860119309,2017-04-08,The Body Shop,502.38
411,7808749595252000,2017-04-25,Lemon Grass,1372.03
412,6327175781041516,2017-04-15,Amazon,1835.95
413,9424269609904108,2017-04-03,Panda Express,92.45
414,3377897050701034,2017-04-12,Panda Express,1626.75
415,8656037654845702,2017-04-27,Panda Express,1470.85
416,6787614557891474,2017-04-07,Lemon Grass,1719.42
417,8165189998587807,2017-04-12,Panda Express,429.81
418,9743975024100642,2017-04-27,Whole Foods,248.91
419,8901818948458243,2017-04-25,Walmart,491.96
420,4676768899854001,2017-04-06,The Body Shop,144.61
421,4112022423965617,2017-04-19,Walmart,1712.65
422,3576572462730991,2017-04-27,Panda Express,1550.61
423,5573798454513934,2017-04-17,The Body Shop,837.38
424,7157860161134113,2017-04-26,Amazon,1833.36
425,8737333120877616,2017-04-29,Veggie Grill,1847.42
426,3085002430450121,2017-04-10,Lemon Grass,996.66
427,4640502931335693,2017-04-08,Whole Foods,1407.48
428,3377897050701034,2017-04-16,Walmart,136.26
429,0414423090159702,2017-04-22,Jamba Juice,1182.17
430,8165189998587807,2017-04-09,Jamba Juice,1412.2
431,1498799927774343,2017-04-25,Lemon Grass,1959.24
432,9052179287026736,2017-04-09,Panda Express,983.48
433,1709466010547053,2017-04-07,Ralph's,1392.14
434,8813992122266024,2017-04-04,Panda Express,743.82
435,2392267321108548,2017-04-03,Walmart,805.63
436,3576572462730991,2017-04-14,Amazon,544.66
437,5605728689605347,2017-04-21,Veggie Grill,718.26
438,0414423090159702,2017-04-09,Ralph's,1135.56
439,7667649442577097,2017-04-24,Veggie Grill,815.79
440,4901659592267401,2017-04-16,Veggie Grill,257.02
441,6343356446104704,2017-04-23,The Body Shop,1319.74
442,6991397103777239,2017-04-21,Panda Express,1366.34
443,0856578541306908,2017-04-25,Lemon Grass,762.98
444,9424269609904108,2017-04-07,Walmart,265.49
445,4037907973301133,2017-04-16,Ralph's,808.6
446,6272677960250540,2017-04-05,Lemon Grass,549.4
447,5400094890438789,2017-04-03,Walmart,93.26
448,7157860161134113,2017-04-12,Jamba Juice,1141.12
449,9743975024100642,2017-04-26,The Body Shop,277.92
450,8202003297278783,2017-04-28,Ralph's,1284.95
451,5331058509488414,2017-04-14,Lemon Grass,1150.39
452,3576572462730991,2017-04-20,Walmart,3.56
453,5080600567778386,2017-04-24,Amazon,1317.69
454,0607702837914869,2017-04-02,The Body Shop,1185.85
455,5605728689605347,2017-04-14,Lemon Grass,1792.87
456,3377897050701034,2017-04-14,Veggie Grill,870.95
457,9052179287026736,2017-04-04,Lemon Grass,630.67
458,6341390381372200,2017-04-26,Whole Foods,862.39
459,0394558527070009,2017-04-02,Jamba Juice,1177.08
460,4676768899854001,2017-04-22,Veggie Grill,194.99
461,3244674239357512,2017-04-05,The Body Shop,917.94
462,3694715094882759,2017-04-24,The Body Shop,55.33
463,4112022423965617,2017-04-05,The Body Shop,255.69
464,6341390381372200,2017-04-01,Whole Foods,1111.56
465,7667649442577097,2017-04-27,The Body Shop,697.36
466,9424269609904108,2017-04-10,Amazon,1647.82
467,3864273082401037,2017-04-03,Whole Foods,253.58
468,8656037654845702,2017-04-10,Whole Foods,1946.7
469,7976355570191638,2017-04-27,The Body Shop,1650.36
470,5935461227326934,2017-04-07,Ralph's,1764.9
471,7554112577630955,2017-04-07,Lemon Grass,1033.71
472,9424269609904108,2017-04-16,Panda Express,1965.45
473,7157860161134113,2017-04-14,Panda Express,1961.17
474,7698957902658189,2017-04-04,The Body Shop,1085.79
475,4037907973301133,2017-04-04,Jamba Juice,853.43
476,3625496949692692,2017-04-15,Walmart,235.21
477,8737333120877616,2017-04-21,Lemon Grass,1919.45
478,9424269609904108,2017-04-19,Panda Express,1847.11
479,5331058509488414,2017-04-15,Veggie Grill,1537.02
480,2904520131060973,2017-04-07,Amazon,1798.24
481,6819180046199376,2017-04-17,Amazon,1801.57
482,9308528277354941,2017-04-02,Jamba Juice,806.81
483,7667649442577097,2017-04-01,Panda Express,553.18
484,1010492762089071,2017-04-26,Amazon,1107.08
485,3244674239357512,2017-04-27,Panda Express,1726.93
486,2155605662250187,2017-04-24,Ralph's,666.59
487,9725464664725929,2017-04-29,The Body Shop,1886.59
488,1136901785393392,2017-04-04,Veggie Grill,1874.38
489,2329920872641971,2017-04-20,The Body Shop,805.55
490,0544057643885059,2017-04-08,Panda Express,1116.84
491,3576572462730991,2017-04-03,Amazon,930.43
492,9052179287026736,2017-04-02,Jamba Juice,1123.08
493,0754829907955843,2017-04-03,Lemon Grass,449.1
494,9310202522396231,2017-04-15,The Body Shop,1771.72
495,7808749595252000,2017-04-16,Ralph's,902.45
496,8813992122266024,2017-04-17,Veggie Grill,1295.36
497,2904520131060973,2017-04-03,Ralph's,212.24
498,3625496949692692,2017-04-28,Amazon,802.76
499,1136901785393392,2017-04-28,Jamba Juice,1499.57
500,0754829907955843,2017-04-08,The Body Shop,1788.39
501,2904520131060973,2017-04-05,Panda Express,1962.43
502,9308528277354941,2017-04-03,Whole Foods,1058.23
503,9725464664725929,2017-04-10,Amazon,656.96
504,6343356446104704,2017-04-11,Jamba Juice,232.38
505,1498011146810365,2017-04-14,The Body Shop,1545.66
506,5573798454513934,2017-04-07,Amazon,1871.08
507,8165189998587807,2017-04-25,Veggie Grill,1364.96
508,7976355570191638,2017-04-01,Amazon,210.88
509,5400094890438789,2017-04-19,Veggie Grill,422.16
510,0086617056121047,2017-04-19,Amazon,1612.31
511,2017063688449160,2017-04-08,Walmart,1522.82
